#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.1237  -12.3383  -11.7222  -11.5879  -11.5672  -11.3934  -11.3883   -4.2400   -3.5294   -2.9914   -2.9285   -2.8398   -2.7331   -2.5799   -2.3483   -2.3106   -1.8642   -1.7361   -1.6205   -1.2410   -0.8918   -0.7307   -0.6556   -0.4729   -0.3023    0.7525    0.8187    0.9526    1.0365    1.8303    1.8759    1.9326    1.9615    2.0344    2.0613    4.4808    4.5463    5.4906    5.7334    5.7498    6.1362
  0.1340  -12.3341  -11.7199  -11.5932  -11.5685  -11.3945  -11.3889   -4.2351   -3.5294   -3.0017   -2.9297   -2.8300   -2.7339   -2.5631   -2.3506   -2.3144   -1.8662   -1.7267   -1.6025   -1.2392   -0.8970   -0.7360   -0.6511   -0.5055   -0.3108    0.7514    0.8187    0.9509    1.0361    1.8354    1.8695    1.9354    1.9567    2.0362    2.0624    4.4827    4.5678    5.5092    5.7218    5.7706    6.1281
  0.1444  -12.3297  -11.7173  -11.5989  -11.5700  -11.3957  -11.3896   -4.2297   -3.5294   -3.0116   -2.9309   -2.8201   -2.7340   -2.5462   -2.3533   -2.3183   -1.8683   -1.7167   -1.5838   -1.2374   -0.9026   -0.7417   -0.6466   -0.5397   -0.3194    0.7503    0.8186    0.9491    1.0353    1.8406    1.8628    1.9383    1.9523    2.0379    2.0633    4.4846    4.5904    5.5275    5.7082    5.7937    6.1238
  0.1547  -12.3250  -11.7146  -11.6049  -11.5715  -11.3971  -11.3903   -4.2240   -3.5294   -3.0212   -2.9319   -2.8104   -2.7330   -2.5293   -2.3564   -2.3221   -1.8703   -1.7061   -1.5643   -1.2358   -0.9087   -0.7477   -0.6421   -0.5752   -0.3280    0.7492    0.8186    0.9472    1.0342    1.8457    1.8560    1.9406    1.9485    2.0397    2.0642    4.4863    4.6138    5.5453    5.6928    5.8191    6.1233
  0.1650  -12.3199  -11.7117  -11.6113  -11.5730  -11.3987  -11.3909   -4.2180   -3.5295   -3.0305   -2.9328   -2.8013   -2.7307   -2.5127   -2.3599   -2.3256   -1.8723   -1.6950   -1.5443   -1.2343   -0.9153   -0.7541   -0.6375   -0.6118   -0.3364    0.7482    0.8187    0.9451    1.0328    1.8474    1.8525    1.9405    1.9473    2.0415    2.0651    4.4878    4.6380    5.5625    5.6760    5.8465    6.1263
  0.1753  -12.3146  -11.7087  -11.6181  -11.5746  -11.4004  -11.3916   -4.2116   -3.5296   -3.0394   -2.9335   -2.7931   -2.7264   -2.4963   -2.3637   -2.3290   -1.8744   -1.6834   -1.5237   -1.2329   -0.9224   -0.7611   -0.6491   -0.6330   -0.3445    0.7471    0.8188    0.9428    1.0310    1.8407    1.8573    1.9376    1.9492    2.0433    2.0660    4.4890    4.6628    5.5791    5.6584    5.8758    6.1324
  0.1856  -12.3090  -11.7055  -11.6252  -11.5762  -11.4022  -11.3923   -4.2050   -3.5297   -3.0480   -2.9340   -2.7862   -2.7201   -2.4805   -2.3677   -2.3320   -1.8765   -1.6714   -1.5026   -1.2318   -0.9302   -0.7693   -0.6863   -0.6285   -0.3522    0.7461    0.8189    0.9405    1.0289    1.8333    1.8627    1.9342    1.9517    2.0451    2.0670    4.4898    4.6881    5.5952    5.6403    5.9066    6.1414
  0.1959  -12.3031  -11.7022  -11.6326  -11.5779  -11.4042  -11.3930   -4.1980   -3.5299   -3.0562   -2.9342   -2.7807   -2.7116   -2.4655   -2.3715   -2.3346   -1.8787   -1.6591   -1.4812   -1.2308   -0.9386   -0.7805   -0.7213   -0.6241   -0.3593    0.7450    0.8191    0.9380    1.0264    1.8259    1.8680    1.9309    1.9543    2.0468    2.0680    4.4902    4.7136    5.6107    5.6223    5.9385    6.1529
  0.2062  -12.2969  -11.6987  -11.6403  -11.5796  -11.4063  -11.3937   -4.1907   -3.5301   -3.0641   -2.9342   -2.7764   -2.7012   -2.4523   -2.3744   -2.3369   -1.8808   -1.6465   -1.4594   -1.2301   -0.9477   -0.7998   -0.7489   -0.6199   -0.3658    0.7440    0.8193    0.9355    1.0235    1.8184    1.8731    1.9279    1.9568    2.0485    2.0691    4.4901    4.7392    5.6047    5.6258    5.9710    6.1666
  0.2165  -12.2904  -11.6950  -11.6483  -11.5813  -11.4085  -11.3945   -4.1833   -3.5303   -3.0717   -2.9338   -2.7728   -2.6892   -2.4419   -2.3751   -2.3388   -1.8830   -1.6337   -1.4375   -1.2295   -0.9574   -0.8310   -0.7653   -0.6158   -0.3715    0.7430    0.8195    0.9328    1.0203    1.8110    1.8779    1.9253    1.9593    2.0500    2.0703    4.4894    4.7647    5.5882    5.6405    6.0036    6.1824
